(9, 20)
(35, 46)
(35, 33)
(15, 20)
(28, 20)
(38, 0)
(38, 39)
(13, 0)
(15, 33)
(38, 42)
(9, 0)
(6, 46)
(28, 3)
(28, 8)
(45, 39)
(9, 39)
(19, 33)
(15, 8)
(17, 26)
(17, 42)
(4, 3)
(45, 33)
(28, 33)
(9, 3)
(41, 0)
(35, 8)
(17, 39)
(4, 20)
(19, 42)
(19, 8)
(13, 26)
(41, 39)
(13, 20)
(19, 26)
(45, 0)
(4, 0)
(35, 42)
(13, 8)
(9, 42)
(9, 26)
(17, 8)
(15, 0)
(9, 33)
(38, 3)
(9, 46)
(6, 42)
(41, 3)
(4, 8)
(41, 20)
(41, 33)
(6, 0)
(19, 46)
(15, 26)
(17, 0)
(6, 3)
(35, 3)
(17, 33)
(41, 8)
(41, 46)
(15, 46)
(41, 42)
(15, 3)
(13, 33)
(45, 3)
(6, 20)
(9, 8)
(19, 20)
(6, 33)
(19, 3)
(17, 20)
(28, 42)
(45, 8)
(28, 0)
(17, 46)
(35, 0)
(38, 33)
(6, 39)
(4, 33)
(13, 46)
(13, 3)
(28, 46)
(4, 46)
(28, 39)
(38, 20)
