(43, 22)
(95, 38)
(68, 87)
(10, 42)
(86, 7)
(11, 61)
(44, 65)
(19, 45)
(18, 46)
(14, 38)
(32, 39)
(86, 74)
(90, 65)
(59, 70)
(89, 45)
(90, 42)
(49, 7)
(32, 45)
(14, 5)
(68, 17)
(68, 78)
(84, 25)
(89, 87)
(47, 78)
(94, 37)
(85, 87)
(43, 29)
(86, 39)
(49, 46)
(14, 39)
(43, 5)
(85, 83)
(80, 87)
(90, 22)
(90, 20)
(84, 83)
(32, 25)
(11, 39)
(49, 83)
(80, 48)
(68, 38)
(86, 42)
(10, 69)
(11, 25)
(14, 40)
(14, 83)
(90, 64)
(59, 17)
(47, 46)
(68, 20)
(47, 37)
(19, 69)
(44, 38)
(90, 5)
(11, 48)
(94, 20)
(49, 24)
(9, 17)
(89, 64)
(85, 64)
(47, 22)
(89, 74)
(90, 25)
(9, 78)
(94, 70)
(11, 74)
(84, 39)
(95, 24)
(44, 17)
(14, 42)
(94, 69)
(85, 45)
(68, 56)
(86, 83)
(84, 46)
(94, 5)
(80, 74)
(19, 56)
(11, 38)
(18, 78)
(23, 65)
(95, 39)
(85, 48)
(44, 83)
(47, 17)
(80, 45)
(94, 39)
(43, 39)
(11, 29)
(89, 37)
(47, 65)
(59, 83)
(59, 42)
(89, 24)
(95, 37)
(59, 5)
(94, 45)
(11, 24)
(49, 38)
(49, 29)
(47, 69)
(94, 61)
(84, 42)
(18, 48)
(95, 78)
(68, 61)
(47, 61)
(47, 42)
(59, 29)
(11, 17)
(23, 24)
(11, 40)
(23, 74)
(19, 38)
(11, 70)
(43, 25)
(18, 83)
(59, 69)
(94, 25)
(59, 58)
(85, 56)
(90, 40)
(14, 58)
(49, 22)
(85, 40)
(94, 65)
(94, 40)
(23, 7)
(32, 61)
(14, 70)
(84, 61)
(9, 65)
(10, 37)
(89, 39)
(10, 17)
(85, 20)
(95, 46)
(84, 65)
(89, 83)
(94, 64)
(18, 17)
(49, 45)
(32, 38)
(86, 20)
(95, 5)
(86, 65)
(85, 58)
(32, 64)
(23, 17)
(47, 70)
(44, 70)
(14, 46)
(84, 74)
(23, 56)
(90, 69)
(85, 7)
(95, 56)
(84, 17)
(49, 20)
(90, 7)
(89, 25)
(47, 87)
(18, 58)
(59, 64)
(89, 78)
(18, 69)
(47, 5)
(95, 48)
