(42, 1)
(30, 3)
(32, 29)
(4, 29)
(18, 41)
(30, 29)
(8, 7)
(19, 29)
(42, 3)
(39, 41)
(8, 3)
(39, 3)
(19, 7)
(0, 3)
(0, 1)
(8, 29)
(30, 5)
(8, 10)
(35, 34)
(42, 41)
(4, 5)
(35, 20)
(19, 10)
(8, 20)
(19, 9)
(35, 1)
(30, 1)
(8, 9)
(32, 22)
(18, 10)
(30, 22)
(0, 9)
(18, 9)
(0, 29)
(19, 3)
(35, 7)
(32, 3)
(32, 10)
(8, 1)
(30, 41)
(19, 20)
(18, 5)
(35, 22)
(0, 7)
(4, 3)
(19, 1)
(4, 20)
(8, 34)
(42, 7)
(8, 22)
(0, 10)
(19, 22)
(0, 41)
(18, 22)
(39, 10)
(30, 34)
(4, 34)
(39, 20)
(4, 7)
(18, 29)
(39, 1)
(4, 1)
(42, 20)
(35, 29)
(18, 20)
(8, 5)
(0, 5)
(30, 20)
(35, 3)
(0, 20)
(39, 9)
(0, 34)
(30, 9)
(4, 22)
(4, 9)
(35, 5)
(32, 5)
(42, 29)
(32, 34)
(39, 7)
(39, 22)
(39, 29)
(42, 5)
(42, 10)
(0, 22)
(30, 10)
(18, 1)
(19, 41)
(35, 9)
(32, 20)
(32, 1)
(19, 34)
(4, 10)
(39, 34)
(8, 41)
(4, 41)
